blad;sidor;format;yta_m2;banor;fil_kB;vagg_s;cpu_s;minne_MB;utdata_MB;fragor;fragetecken;skala;namn_med_meter;cpu_kr;llm_kr;lagring_kr;kr
V-50-1-A0222;1;A1;0.5;10454;480;14.1;15.2;234.0;7.5;0;0;VERIFIED;5;0.0043;0.0;0.0224;0.027
TOFTASKOLAN HUS B|V-53-1-020.pdf;1;A1;0.5;11934;339;21.7;22.9;235.0;6.7;0;0;VERIFIED;1;0.0065;0.0;0.0201;0.027
TOFTASKOLAN HUS B|V-57.1-02-DEM.pdf;1;A3;0.125;3082;152;13.0;14.1;197.0;7.6;0;0;NONE;0;0.004;0.0;0.0228;0.027
TOFTASKOLAN HUS B|V-57.2-001.pdf;1;A1;0.5;8750;207;23.7;24.8;211.0;6.8;0;0;TEXT_ONLY;6;0.0071;0.0;0.0203;0.027
Priorn|V-53-1-A0101.pdf;1;A1;0.5;15337;342;38.1;39.0;248.0;5.0;0;0;TEXT_ONLY;4;0.0111;0.0;0.0149;0.026
Priorn|V-56-1-A0102.pdf;1;A1;0.5;10223;362;41.7;42.5;238.0;4.5;0;0;CONFLICT;0;0.0121;0.0;0.0136;0.026
Ritningar|V50-1-0821 - Plan B2, Del 21, Värme & Sanitäranlägg-.pdf;1;A1;0.5;9004;186;10.9;12.0;200.0;7.6;0;0;VERIFIED;16;0.0034;0.0;0.0227;0.026
Ritningar|V50-1-0822 - Plan B2, Del 22, Värme & Sanitäranlägg-.pdf;1;A1;0.5;7336;177;10.9;12.0;196.0;7.4;0;0;VERIFIED;17;0.0034;0.0;0.0222;0.026
z|4|22.pdf;1;A1;0.5;13303;281;17.6;18.8;246.0;6.9;0;0;VERIFIED;4;0.0054;0.0;0.0206;0.026
V-50-1-A0111;1;A1;0.5;9621;517;11.6;12.9;229.0;7.2;0;0;VERIFIED;6;0.0037;0.0;0.0216;0.025
src|01 - AutoCAD - pdfplot14-16 - Ghostscript 9.21|10.pdf;1;A1;0.5;13392;256;17.6;18.1;216.0;6.7;0;0;VERIFIED;16;0.0052;0.0;0.0201;0.025
z|5|5.pdf;1;A1;0.5;9911;203;32.4;33.5;210.0;5.1;0;0;VERIFIED;15;0.0096;0.0;0.0154;0.025
V-50-1-A0121;1;A1;0.5;13195;389;14.3;15.4;240.0;6.4;0;0;VERIFIED;12;0.0044;0.0;0.0192;0.024
Priorn|V-53-1-A0102.pdf;1;A1;0.5;15523;333;32.9;33.8;245.0;4.8;0;0;VERIFIED;3;0.0096;0.0;0.0144;0.024
test|V-50-1-A0222.pdf;1;A1;0.5;10265;340;14.1;15.1;234.0;6.5;0;0;VERIFIED;5;0.0043;0.0;0.0194;0.024
z|5|8.pdf;1;A1;0.5;13434;318;30.6;31.8;237.0;4.9;0;0;VERIFIED;0;0.0091;0.0;0.0148;0.024
z|13|1760273_1.pdf;1;A1;0.5;7287;312;11.4;12.6;212.0;6.8;0;0;VERIFIED;1;0.0036;0.0;0.0203;0.024
Priorn|V-56-1-A0101.pdf;1;A1;0.5;10339;364;31.2;32.1;239.0;4.7;0;0;VERIFIED;0;0.0092;0.0;0.014;0.023
